gene_id,description,function_group,group_name,function_subgroup,subgroup_name
slr0644,nitrogen regulation protein NifR3 homolog,A,Amino acid biosynthesis,A4,Glutamate family / Nitrogen assimilation
slr0661,pyrroline-5-carboxylate reductase,A,Amino acid biosynthesis,A4,Glutamate family / Nitrogen assimilation
slr0710,glutamate dehydrogenase (NADP+),A,Amino acid biosynthesis,A4,Glutamate family / Nitrogen assimilation
slr0898,ferredoxin--nitrite reductase,A,Amino acid biosynthesis,A4,Glutamate family / Nitrogen assimilation
slr0899,cyanate lyase,A,Amino acid biosynthesis,A4,Glutamate family / Nitrogen assimilation
slr1022,N-acetylornithine aminotransferase,A,Amino acid biosynthesis,A4,Glutamate family / Nitrogen assimilation
slr1133,L-argininosuccinate lyase,A,Amino acid biosynthesis,A4,Glutamate family / Nitrogen assimilation
slr1529,nitrogen assimilation regulatory protein,A,Amino acid biosynthesis,A4,Glutamate family / Nitrogen assimilation
slr1653,N-acyl-L-amino acid amidohydrolase,A,Amino acid biosynthesis,A4,Glutamate family / Nitrogen assimilation
slr1756,glutamate--ammonia ligase,A,Amino acid biosynthesis,A4,Glutamate family / Nitrogen assimilation
slr1898,N-acetylglutamate kinase,A,Amino acid biosynthesis,A4,Glutamate family / Nitrogen assimilation
slr2035,glutamate 5-kinase,A,Amino acid biosynthesis,A4,Glutamate family / Nitrogen assimilation
slr2079,putative glutaminase,A,Amino acid biosynthesis,A4,Glutamate family / Nitrogen assimilation
slr2143,L-cysteine/cystine lyase,A,Amino acid biosynthesis,A4,Glutamate family / Nitrogen assimilation
ssl0707,nitrogen regulatory protein P-II,A,Amino acid biosynthesis,A4,Glutamate family / Nitrogen assimilation
ssl2667,an assembly factor for iron-sulfur culsters,A,Amino acid biosynthesis,A4,Glutamate family / Nitrogen assimilation
sll0712,cysteine synthase,A,Amino acid biosynthesis,A6,Serine family / Sulfur assimilation
sll1908,D-3-phosphoglycerate dehydrogenase,A,Amino acid biosynthesis,A6,Serine family / Sulfur assimilation
sll1931,serine hydroxymethyltransferase,A,Amino acid biosynthesis,A6,Serine family / Sulfur assimilation
slr0676,adenylylsulfate kinase,A,Amino acid biosynthesis,A6,Serine family / Sulfur assimilation
slr0963,ferredoxin-sulfite reductase,A,Amino acid biosynthesis,A6,Serine family / Sulfur assimilation
slr1165,sulfate adenylyltransferase,A,Amino acid biosynthesis,A6,Serine family / Sulfur assimilation
slr1348,serine acetyltransferase,A,Amino acid biosynthesis,A6,Serine family / Sulfur assimilation
slr1791,phosphoadenosine phosphosulfate reductase,A,Amino acid biosynthesis,A6,Serine family / Sulfur assimilation
slr1842,cysteine synthase,A,Amino acid biosynthesis,A6,Serine family / Sulfur assimilation
slr0523,similar to dethiobiotin synthetase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B1,Biotin
slr0917,7-keto-8-aminopelargonic acid synthetase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B1,Biotin
slr1364,biotin synthetase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B1,Biotin
sll0753,FolD bifunctional protein,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B2,Folic acid
sll1612,folylpolyglutamate synthase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B2,Folic acid
slr0426,GTP cyclohydrolase I,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B2,Folic acid
slr1093,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B2,Folic acid
slr2026,dihydropteroate synthase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B2,Folic acid
sll0017,glutamate-1-semialdehyde aminomutase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
sll0099,"precorrin-6y C5, 15-methyltransferase (decarboxylating)",B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
sll0166,a fusion protein between uroporphyrinogen-III C-methyltransferase (CobA/CorA) and uroporphyrinogen-III synthase (HemD),B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
sll0378,uroporphyrin-III C-methyltransferase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
sll0383,cobalamin biosynthesis protein M,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
sll0794,cobalt-dependent transcriptional regulator,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
sll0916,"precorrin isomerase, precorrin-8X methylmutase",B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
sll1091,geranylgeranyl hydrogenase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
sll1184,heme oxygenase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
sll1185,"coproporphyrinogen III oxidase, aerobic (oxygen-dependent)",B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
sll1237,N(5)-glutamine methyltransferase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
sll1501,"cobyrinic acid a,c-diamide synthase",B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
sll1685,protein involved in light-induced Na+-dependent proton extrusion,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
sll1875,heme oxygenase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
sll1876,"coproporphyrinogen III oxidase, anaerobic (oxygen-independent)",B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
sll1890,cobalt-chelatase subunit CobN-like protein,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
sll1917,"coproporphyrinogen III oxidase, anaerobic (oxygen-independent)",B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
sll1994,porphobilinogen synthase (5-aminolevulinate dehydratase),B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
sll5080,non-heme chloroperoxidase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
slr0056,chlorophyll a synthase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
slr0216,bifunctional cobalamin biosynthesis protein CobP,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
slr0239,precorrin-4 C11-methyltransferase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
slr0252,probable precorrin-6x reductase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
slr0260,cob(I)alamin adenosyltransferase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
slr0502,cobalamin synthesis protein cobW homolog,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
slr0506,light-dependent NADPH-protochlorophyllide oxidoreductase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
slr0525,Mg-protoporphyrin IX methyl transferase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
slr0536,uroporphyrinogen decarboxylase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
slr0618,cobyric acid synthase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
slr0636,probable cobalamin [5'-phosphate] synthase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
slr0749,light-independent protochlorophyllide reductase iron protein subunit ChlL,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
slr0750,light-independent protochlorophyllide reductase subunit ChlN,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
slr0772,light-independent protochlorophyllide reductase subunit ChlB,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
slr0839,ferrochelatase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
slr0905,Mg-protoporphyrin IX monomethyl ester oxidative cyclase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
slr0969,precorrin methylase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
slr1030,magnesium protoporphyrin IX chelatase subunit I,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
slr1055,magnesium protoporphyrin IX chelatase subunit H,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
slr1211,cobalt-chelatase subunit CobN,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
slr1368,precorrin decarbocylase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
slr1467,precorrin isomerase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
slr1538,cobalamin biosynthesis protein D,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
slr1742,probable cobyric acid synthase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
slr1777,magnesium protoporphyrin IX chelatase subunit D,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
slr1784,biliverdin reductase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
slr1879,precorrin-2 methyltransferase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
slr1887,"porphobilinogen deaminase (hydroxymethylbilane synthase, preuroporphyrinogen synthase)",B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
slr1925,cobalamin biosynthesis protein CobD,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B3,"Cobalamin, heme, phycobilin and porphyrin"
sll0868,lipoic acid synthetase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B4,Lipoate
slr0994,lipoate-protein ligase B,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B4,Lipoate
slr1598,lipoic acid synthetase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B4,Lipoate
sll0409,similar to O-succinylbenzoate-CoA synthase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B5,Menaquinone and ubiquinone
sll0603,menaquinone biosynthesis protein MenD,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B5,Menaquinone and ubiquinone
sll1127,"1,4-dihydroxy-2-naphthoate synthase",B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B5,Menaquinone and ubiquinone
slr0492,O-succinylbenzoic acid-CoA ligase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B5,Menaquinone and ubiquinone
slr0611,solanesyl diphosphate synthase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B5,Menaquinone and ubiquinone
slr0926,4-hydroxybenzoate-octaprenyl transferase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B5,Menaquinone and ubiquinone
slr1099,3-octaprenyl-4-hydroxybenzoate carboxy-lyase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B5,Menaquinone and ubiquinone
slr1300,similar to 2-octaprenyl-6-methoxyphenol hydroxylase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B5,Menaquinone and ubiquinone
slr1518,"phylloquinone biosynthesis protein, probable 1,4-dihydroxy-2-naphthoic acid phytyltransferase",B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B5,Menaquinone and ubiquinone
sll1536,molybdopterin biosynthesis MoeB protein,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B6,Molybdopterin
slr0900,molybdopterin biosynthesis MoeA protein,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B6,Molybdopterin
slr0901,molybdopterin biosynthesis protein A,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B6,Molybdopterin
slr0902,"molybdenum cofactor biosynthesis protein C, fused to molybdopterin-guanine dinucleotide biosynthesis protein MobA",B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B6,Molybdopterin
slr0903,"molybdopterin (MPT) converting factor, subunit 2",B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B6,Molybdopterin
ssr1527,"probable molybdopterin [MPT] converting factor, subunit 1",B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B6,Molybdopterin
sll0250,pantothenate metabolism flavoprotein,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B7,Pantothenate
sll0892,aspartate 1-decarboxylase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B7,Pantothenate
sll1249,pantothenate synthetase/cytidylate kinase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B7,Pantothenate
slr0526,3-methyl-2-oxobutanoate hydroxymethyltransferase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B7,Pantothenate
sll0660,pyridoxal phosphate biosynthetic protein PdxA,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B8,Pyridoxine
sll1440,pyridoxamine 5'-phosphate oxidase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B8,Pyridoxine
slr1779,pyridoxal phosphate biosynthetic protein PdxJ,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B8,Pyridoxine
sll0300,riboflavin synthase alpha chain,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B9,Riboflavin
sll1282,riboflavin synthase beta subunit,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B9,Riboflavin
sll1894,riboflavin biosynthesis protein RibA,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B9,Riboflavin
slr0066,riboflavin biosynthesis protein RibD,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B9,Riboflavin
slr1882,riboflavin biosynthesis protein RibF,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B9,Riboflavin
sll0067,glutathione S-transferase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B10,"Thioredoxin, glutaredoxin, and glutathione"
sll0554,"ferredoxin-thioredoxin reductase, catalytic chain",B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B10,"Thioredoxin, glutaredoxin, and glutathione"
sll1057,thioredoxin M,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B10,"Thioredoxin, glutaredoxin, and glutathione"
sll1147,glutathione S-transferase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B10,"Thioredoxin, glutaredoxin, and glutathione"
sll1545,glutathione S-transferase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B10,"Thioredoxin, glutaredoxin, and glutathione"
slr0233,thioredoxin M,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B10,"Thioredoxin, glutaredoxin, and glutathione"
slr0236,similar to glutathione S-transferase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B10,"Thioredoxin, glutaredoxin, and glutathione"
slr0600,NADP-thioredoxin reductase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B10,"Thioredoxin, glutaredoxin, and glutathione"
slr0623,thioredoxin,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B10,"Thioredoxin, glutaredoxin, and glutathione"
slr1139,thioredoxin,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B10,"Thioredoxin, glutaredoxin, and glutathione"
slr1171,"glutathione peroxidase-like NADPH peroxidase,glutathione peroxidase",B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B10,"Thioredoxin, glutaredoxin, and glutathione"
slr1238,glutathione synthetase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B10,"Thioredoxin, glutaredoxin, and glutathione"
slr1269,gamma-glutamyltranspeptidase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B10,"Thioredoxin, glutaredoxin, and glutathione"
slr1562,glutaredoxin,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B10,"Thioredoxin, glutaredoxin, and glutathione"
slr1846,hypothetical protein YCF64,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B10,"Thioredoxin, glutaredoxin, and glutathione"
slr1992,glutathione peroxidase-like NADPH peroxidase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B10,"Thioredoxin, glutaredoxin, and glutathione"
ssr0330,"ferredoxin-thioredoxin reductase, variable chain",B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B10,"Thioredoxin, glutaredoxin, and glutathione"
ssr2061,glutaredoxin,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B10,"Thioredoxin, glutaredoxin, and glutathione"
sll0635,probable thiamine-phosphate pyrophosphorylase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B12,Thiamin
slr0118,thiamine biosynthesis protein ThiC,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B12,Thiamin
slr0633,thiamine biosynthesis protein ThiG,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B12,Thiamin
slr1787,thiamine-monophosphate kinase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B12,Thiamin
sll0254,probable phytoene dehydrogenase Rieske iron-sulfur component,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B13,Carotenoid
sll1468,beta-carotene hydroxylase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B13,Carotenoid
slr0088,beta-carotene ketolase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B13,Carotenoid
slr0739,geranylgeranyl pyrophosphate synthase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B13,Carotenoid
slr0940,zeta-carotene desaturase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B13,Carotenoid
slr1125,probable glucosyl transferase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B13,Carotenoid
slr1254,phytoene dehydrogenase (phytoene desaturase),B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B13,Carotenoid
slr1255,phytoene synthase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B13,Carotenoid
slr1293,similar to phytoene dehydrogenase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B13,Carotenoid
sll0622,quinolinate synthetase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B15,Quinolinate
sll0631,L-aspartate oxidase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B15,Quinolinate
slr1706,dihydroflavonol 4-reductase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B17,Others
ssl2296,pterin-4a-carbinolamine dehydratase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B17,Others
slr0936,nicotinate-nucleotide pyrophosphorylase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B18,Nicotinate and nicotinamide
slr1239,pyridine nucleotide transhydrogenase alpha subunit,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B18,Nicotinate and nicotinamide
slr1434,pyridine nucleotide transhydrogenase beta subunit,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B18,Nicotinate and nicotinamide
slr1691,glutamine-dependent NAD(+) synthetase,B,"Biosynthesis of cofactors, prosthetic groups, and carriers",B18,Nicotinate and nicotinamide
sll0772,probable porin; major outer membrane protein,C,Cell envelope,C1,"Membranes, lipoproteins, and porins"
sll1187,prolipoprotein diacylglyceryl transferase,C,Cell envelope,C1,"Membranes, lipoproteins, and porins"
sll1271,probable porin; major outer membrane protein,C,Cell envelope,C1,"Membranes, lipoproteins, and porins"
